,,,,,,,,,,,,,,,,,,,,,"0,0%",,,,,"22,0%","0,000000","0,999999",0,7,"0,142857","0,999999","1,000000"
,,,,,,,,,,,,,,,,,,,,,Потери %,,,,,,,,,,,,
,,,,,ШТАРК КЕМИКАЛЗ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Калькулятор технолога,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Расчёт себестоимости 1 кг ГП  ·  EUR / RUB  ·  с НДС и без,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,📦   ПРОДУКТ,,,,,💱   EUR / ₽,,💵   USD / ₽,💴   CNY / ₽,,,,,,,,,,,,,,,,,,,,,,,
,,Клей Starkbond 2014 бочка 225кг,,,,,"87,4027 ₽",,"77,0611 ₽","11,3359 ₽",,,,,,,,,,,,,,,,,,,,,,,
,,нажмите ▼ — выбор из 49 продуктов,,,,,EUR → RUB,,Курс ЦБ РФ,Курс ЦБ РФ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Цена для клиента,,,,,,,,,,,,,,,,,,
,   ИТОГОВАЯ СЕБЕСТОИМОСТЬ  ·  1 КГ ГП  ·  по курсу ЦБ,,,,,,,,,,,,,,Статья,"€/кг
с НДС",,,,,,,,,,,,,,,,,
,"2,38 €",,,"1,95 €",,,"208,00 ₽",,,"170,49 ₽",,,,,Себестоимость,"2,38 €",,,,,,,,,,,,,,,,,
,"€ с НДС, евро",,,"€ без НДС, евро",,,"₽ с НДС, рубли",,,"₽ без НДС, рубли",,,,,Доставка на 1 кг,"0,10 €",,,,,,,,,,,,,,,,,
,,"100,0000 ₽",ручной ввод,✏️  Предполагаемый курс EUR / ₽:,,,,,,,,,,,GM2,"0,05 €",,,,,,,,,,,,,,,,,
,   ИТОГОВАЯ СЕБЕСТОИМОСТЬ  ·  1 КГ ГП  ·  по предполагаемому курсу EUR,,,,,,,,,,,,,,КВ,"0,00 €",,,,,,,,,,,,,,,,,
,"2,38 €",,,"1,95 €",,,"238,00 ₽",,,"195,08 ₽",,,,,Прочие расходы,"0,00 €",,,,,,,,,,,,,,,,,
,"€ с НДС, евро (предп.)",,,"€ без НДС, евро (предп.)",,,"₽ с НДС, рубли (предп.)",,,"₽ без НДС, рубли (предп.)",,,,,Полная стоимость,"2,53 €",,,,,,,,,,,,,,,,,
,Рецептура,,,,,,Σ % массовых компонентов:,,,,"100,00%",,,,Наценка %,"0,2","44,23 ₽",,,,,,,,,,,,,,,,
,№,Компонент,Раздел,Ед.,"Потери,
кг","% ввод
ручной","% факт
100%","Кол-во
на 1 кг","Цена €/ед.
база","Цена €/ед.
база","Цена €/ед.
итог","€/кг
с НДС","₽/кг
с НДС",,Наценка ₽,"0,00 ₽","0,0%",,_base%,,,,,,,,,,,,,,
,1,Полиол Puranol Polyether polyol D220,Материал основной,кг,,,"38,50%","0,3850","1,31 €",,"1,31 €","0,62 €","54,19 ₽",,ЦЕНА  ДЛЯ  КЛИЕНТА  ·  с НДС,,,,"0,385042",,,,,,,,,,,,,,
,2,Изоцианат Ongronat 3000,Материал основной,кг,,,"11,51%","0,1151","2,82 €",,"2,82 €","0,40 €","34,96 ₽",,"3,04 € / кг",,,,"0,115129",,,,,,,,,,,,,,
,3,"Хлорпарафин ХП-470 м.""А"" ( куб 1200 кг )",Материал основной,кг,,,"25,63%","0,2563","1,09 €",,"1,09 €","0,34 €","29,72 ₽",,"265,35 ₽ / кг",,,,"0,256268",,,,,,,,,,,,,,
,4,Изоцианат Lupranate MI (бочка 225 кг) / Изоцианат Lupranate MI (бочка 250 кг),Материал основной,кг,,,"21,32%","0,2132","2,90 €",,"2,90 €","0,75 €","65,55 ₽",,,,,,"0,213201",,,,,,,,,,,,,,
,5,Изоцианат полимерный Wannate PM-200,Материал основной,кг,,,"2,90%","0,0290","2,22 €",,"2,22 €","0,08 €","6,99 ₽",,ЦЕНА  ДЛЯ  КЛИЕНТА  ·  без НДС,,,,"0,028995",,,,,,,,,,,,,,
,6,П-толуолсульфонил изоцианат / p-toluene sulfonyl isocyanate (PTSI),Материал основной,кг,,,"0,08%","0,0008","8,27 €",,"8,27 €","0,01 €","0,87 ₽",,"2,49 € / кг",,,,"0,000810",,,,,,,,,,,,,,
,7,Катализатор DMDEE бочки по 210 кг,Материал основной,кг,,,"0,06%","0,0006","7,15 €",,"7,15 €",,,,"217,50 ₽ / кг",,,,"0,000554",,,,,,,,,,,,,,
,8,Бочка металлическая 210л. (с крышкой на обруч/пробка) красная RAL3020 / Бочка металлическая 210л. (с крышкой на обруч/пробка) синяя RAL5010 / Бочка металлическая 210л. (с крышкой на обруч/пробка) черная RAL9005,Тара для ГП,шт,,,,"0,0043","30,04 €",,"30,04 €","0,16 €","13,98 ₽",,,,,,"0,000000",,,,,,,,,,,,,,
,9,Поддон деревянный 1200*1200,Тара для ГП,шт,,,,"0,0009","6,32 €",,"6,32 €","0,01 €","0,87 ₽",,,,,,"0,000000",,,,,,,,,,,,,,
,10,Поддон деревянный 1200*800,Тара для ГП,шт,,,,"0,0004","4,86 €",,"4,86 €",,,,,,,,"0,000000",,,,,,,,,,,,,,
,11,Банка 12л. с внешним покрытием,Тара для ГП,шт,,,,"0,0004","3,28 €",,"3,28 €",,,,,,,,"0,000000",,,,,,,,,,,,,,
,12,Фильтрующий мешок 178х810 НМО 100 мкм п/к / Фильтрующий мешок 178х810 НМО 150 мкм / Фильтрующий мешок 178х810 НМО 200 мкм,Оснастка (фильтры),шт,,,,"0,0009","7,29 €",,"7,29 €","0,01 €","0,87 ₽",,,,,,"0,000000",,,,,,,,,,,,,,
,13,Этикетка 210x300мм (крошка) STARKBOND,Оснастка (этикетка),шт,,,,"0,0043","0,13 €",,"0,13 €",,,,,,,,"0,000000",,,,,,,,,,,,,,
,14,,,,,,,,,,,,,,,,,,"0,000000",,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,"0,000000",,,,,,,,,,,,,,
,16,,,,,,,,,,,,,,,,,,"0,000000",,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,"0,000000",,,,,,,,,,,,,,
,18,,,,,,,,,,,,,,,,,,"0,000000",,,,,,,,,,,,,,
,19,,,,,,,,,,,,,,,,,,"0,000000",,,,,,,,,,,,,,
,20,,,,,,,,,,,,,,,,,,"0,000000",,,,,,,,,,,,,,
,21,,,,,,,,,,,,,,,,,,"0,000000",,,,,,,,,,,,,,
,22,,,,,,,,,,,,,,,,,,"0,000000",,,,,,,,,,,,,,
,23,,,,,,,,,,,,,,,,,,"0,000000",,,,,,,,,,,,,,
,24,,,,,,,,,,,,,,,,,,"0,000000",,,,,,,,,,,,,,
,25,,,,,,,,,,,,,,,,,,"0,000000",,,,,,,,,,,,,,
,Σ  ИТОГО,,,,,,"100,00%",,,,,"2,38 €","208,00 ₽",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,💡  Введите % в синюю колонку «% ввод» — остальные компоненты пересчитаются автоматически до 100%. Сумма % всегда = 100%.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
