Дата передачи материалов,Дата выпуска продукции,курс,№ ЗП,Продукт,Вес готового продукта,Израсходовано по факту,"Израсходовано по факту Polyether Polyol Puranol, Пропиленгликоль","Потери, кг",% потерь,"СС 1С на дату выпуска, EUR",% пропиленгликоля в составе,"СС КГ, РУБ, Б/НДС","СС Факт , EUR, Б/НДС","СС Партии, EUR, Б/НДС","СС Партии, РУБ, Б/НДС",,Примечание
02.09.2024,03.09.2024,"99,2613",632,Отвердитель Starkbond 525C 2.0 Бочка 200 кг,3200,"3208,4",0,"8,4","0,26","3,43","0,00","340,47 ₽","3,43€","10 976,00€","1 089 492,03 ₽",,
03.09.2024,03.09.2024,"99,2613",631,Клей Starkbond 2014 бочка 225кг,900,927,368,27,"3,00","3,24","40,89","198,22 ₽","2,00€","1 797,28€","178 400,35 ₽",,
03.09.2024,04.09.2024,"97,8121",624,Клей Starkbond 745/41 А (бочка 200 кг),1000,1038,219,38,"3,80","3,25","21,90","252,77 ₽","2,58€","2 584,24€","252 769,94 ₽",,
03.09.2024,04.09.2024,"97,8121",633,Отвердитель Starkbond 525C 2.0 Бочка 200 кг,1600,"1624,2",0,"24,2","1,51","3,41","0,00","333,54 ₽","3,41€","5 456,00€","533 662,82 ₽",,
03.09.2024,04.09.2024,"97,8121",634,Клей Starkbond 521A ведро 22 кг,220,220,0,0,"0,00","4,09","0,00","400,05 ₽","4,09€","899,80€","88 011,33 ₽",,перелив
03.09.2024,04.09.2024,"97,8121",635,Отвердитель Starkbond 521C 10.0 ведро 11кг,198,200,0,2,"1,01","2,26","0,00","221,06 ₽","2,26€","447,48€","43 768,96 ₽",,перелив
04.09.2024,05.09.2024,"98,0725",636,Клей Starkbond 2014 бочка 225кг,900,"935,5",365,"35,5","3,94","3,27","40,56","199,78 ₽","2,04€","1 833,40€","179 806,12 ₽",,
04.09.2024,05.09.2024,"98,0725",637,клей Starkbond 521 A бочка 220кг,6600,6616,3025,16,"0,24","3,87","45,83","242,89 ₽","2,48€","16 346,00€","1 603 093,09 ₽",,
04.09.2024,05.09.2024,"98,0725",638,Клей Starkbond 2014 бочка 225кг,900,935,365,35,"3,89","3,27","40,56","199,78 ₽","2,04€","1 833,40€","179 806,12 ₽",,
05.09.2024,05.09.2024,"98,0725",640,отвердитель Starkbond 746/1 С ведро 20кг,120,120,0,0,"0,00","2,91","0,00","285,39 ₽","2,91€","349,20€","34 246,92 ₽",,перелив
06.09.2024,09.09.2024,"99,7156",641,Клей Starkbond 2014 бочка 225кг,900,"931,28",365,"31,28","3,48","3,26","40,56","202,13 ₽","2,03€","1 824,40€","181 921,14 ₽",,
06.09.2024,09.09.2024,"99,7156",642,Отвердитель Starkbond 521C 10.0 бочка 200кг,8000,"8010,5",0,"10,5","0,13","1,95","0,00","194,45 ₽","1,95€","15 600,00€","1 555 563,36 ₽",,
06.09.2024,09.09.2024,"99,7156",643,Клей Starkbond 2014 бочка 225кг,900,"935,72",365,"35,72","3,97","3,26","40,56","202,13 ₽","2,03€","1 824,40€","181 921,14 ₽",,
06.09.2024,09.09.2024,"99,7156",644,отвердитель Starkbond 525C 3.0 ведро 20кг,200,208,0,8,"4,00","3,46","0,00","345,02 ₽","3,46€","692,00€","69 003,20 ₽",,
06.09.2024,09.09.2024,"99,7156",645,Отвердитель Starkbond 521C 10.0 бочка 200кг,8000,"8010,5",0,"10,5","0,13","1,95","0,00","194,45 ₽","1,95€","15 600,00€","1 555 563,36 ₽",,
06.09.2024,09.09.2024,"99,7156",646,Отвердитель Starkbond 521C 10.0 бочка 200кг,8000,"8020,5",0,"20,5","0,26","1,95","0,00","194,45 ₽","1,95€","15 600,00€","1 555 563,36 ₽",,
07.09.2024,10.09.2024,"99,9067",647,Клей Starkbond 525A бочка 220 кг и ведро 22 кг,1100,1137,577,37,"3,36","4,05","52,45","245,31 ₽","2,46€","2 700,92€","269 840,00 ₽",,
07.09.2024,10.09.2024,"99,9067",648,Клей Starkbond 522A бочка 220 кг,6600,6620,2750,20,"0,30","3,86","41,67","259,09 ₽","2,59€","17 116,00€","1 710 003,08 ₽",,
07.09.2024,10.09.2024,"99,9067",649,отвердитель Starkbond 525C 2.0 ведро 20кг,186,200,0,14,"7,53","3,94","0,00","393,63 ₽","3,94€","732,84€","73 215,63 ₽",,перелив
10.09.2024,10.09.2024,"99,9067",650,Клей Starkbond 522A бочка 220 кг,6600,6620,2750,20,"0,30","3,86","41,67","259,09 ₽","2,59€","17 116,00€","1 710 003,08 ₽",,
10.09.2024,10.09.2024,"99,9067",651,отвердитель Starkbond 746/1 С ведро 20кг,200,200,0,0,"0,00","2,79","0,00","278,74 ₽","2,79€","558,00€","55 747,94 ₽",,перелив
11.09.2024,11.09.2024,"100,4995",653,Клей Starkbond 745/41 А (бочка 200 кг),1000,1041,220,41,"4,10","3,3","22,00","264,43 ₽","2,63€","2 631,20€","264 434,28 ₽",,
11.09.2024,12.09.2024,"100,7421",654,Клей Starkbond 745/41 А (бочка 200 кг),1000,1030,215,30,"3,00","3,28","21,50","264,59 ₽","2,63€","2 626,40€","264 589,05 ₽",,
11.09.2024,10.09.2024,"99,9067",655,отвердитель Starkbond 746/1 С ведро 20кг,200,200,0,0,"0,00","2,79","0,00","278,74 ₽","2,79€","558,00€","55 747,94 ₽",,перелив
12.09.2024,12.09.2024,"100,7421",656,клей Starkbond 521 A бочка 220кг,6600,6630,3030,30,"0,45","4,24","45,91","286,55 ₽","2,84€","18 772,80€","1 891 211,29 ₽",,
05.09.2024,06.09.2024,"99,1927",639,клей Starkbond 521 A бочка 220кг,6600,6615,3015,15,"0,23","4,22","45,68","280,84 ₽","2,83€","18 686,40€","1 853 554,47 ₽",,
11.09.2024,11.09.2024,"100,4995",652,клей Starkbond 521 A бочка 220кг,6600,6620,3020,20,"0,30","4,2","45,76","282,30 ₽","2,81€","18 539,20€","1 863 180,33 ₽",,
12.09.2024,12.09.2024,"100,7421",657,Клей Starkbond 745/41 А (бочка 200 кг),1000,1040,220,40,"4,00","3,28","22,00","263,06 ₽","2,61€","2 611,20€","263 057,77 ₽",,
13.09.2024,13.09.2024,"100,3907",658,Клей Starkbond 522A бочка 220 кг,6600,6620,2750,20,"0,30","3,86","41,67","260,35 ₽","2,59€","17 116,00€","1 718 287,22 ₽",,
13.09.2024,13.09.2024,"100,3907",659,Клей Starkbond 745/41 А (бочка 200 кг),1000,1030,240,30,"3,00","3,33","24,00","261,06 ₽","2,60€","2 600,40€","261 055,98 ₽",,
13.09.2024,16.09.2024,"100,7958",660,Клей Starkbond 522A бочка 220 кг,6600,6620,2750,20,"0,30","3,86","41,67","261,40 ₽","2,59€","17 116,00€","1 725 220,91 ₽",,
13.09.2024,16.09.2024,"100,7958",661,Starkbond 2004 бочка 225 кг,900,951,500,51,"5,67","3,79","55,56","211,78 ₽","2,10€","1 891,00€","190 604,86 ₽",,
13.09.2024,16.09.2024,"100,7958",662,Starkbond 2004 бочка 225 кг,900,927,500,27,"3,00","3,79","55,56","211,78 ₽","2,10€","1 891,00€","190 604,86 ₽",,
13.09.2024,16.09.2024,"100,7958",663,клей Starkbond 521 A бочка 220кг,4400,4410,2010,10,"0,23","4,23","45,68","286,39 ₽","2,84€","12 501,60€","1 260 108,77 ₽",,
13.09.2024,13.09.2024,"100,3907",664,Отвердитель Starkbond 521C 11.0 бочка 200кг,1600,"1564,2",0,"-35,8","-2,24","1,94","0,00","194,76 ₽","1,94€","3 104,00€","311 612,73 ₽",,
13.09.2024,16.09.2024,"100,7958",665,Starkbond 2004 бочка 225 кг,900,929,500,29,"3,22","3,79","55,56","211,78 ₽","2,10€","1 891,00€","190 604,86 ₽",,
